tag,JD,launch_date,launch_year,type,variant,mission,agency,state_code,category,agency_type
1965-054,2438957.97,7/16/65,1965,UR-500,,N-4 No. 1,,SU,O,state
1965-056,2438960.11,7/18/65,1965,Molniya 8K78,,3MV-4 No. 3,,SU,O,state
1965-059,2438964.69,7/23/65,1965,Kosmos 63S1,,DS-P1-Yu No. 3,,SU,O,state
1965-061,2438975.96,8/3/65,1965,Voskhod 11A57,,Zenit-4 No. 13,,SU,O,state
1965-066,2438986.96,8/14/65,1965,Vostok 8A92,,Zenit-2 No. 30,,SU,O,state
1965-069,2438997.92,8/25/65,1965,Voskhod 11A57,,Zenit-4 No. 7,,SU,O,state
1965-070,2439007.08,9/3/65,1965,Kosmos 65S3,,Strela-1,,SU,O,state
1965-071,2439012.9,9/9/65,1965,Voskhod 11A57,,Zenit-4 No. 8,,SU,O,state
1965-073,2439021.83,9/18/65,1965,Kosmos 65S3,,Strela-1,,SU,O,state
1965-075,2439026.88,9/23/65,1965,Voskhod 11A57,,Zenit-4 No. 9,,SU,O,state
1965-077,2439037.82,10/4/65,1965,Molniya 8K78M,,E-6 No. 11,,SU,O,state
1965-080,2439047.75,10/14/65,1965,Molniya 8K78,,Molniya-1 11F67 No. 4,,SU,O,state
1965-083,2439049.84,10/16/65,1965,Voskhod 11A57,,Zenit-4 No. 16,,SU,O,state
1965-084,2439052.74,10/19/65,1965,Kosmos 11K63,,DS-U2-V No. 1,,SU,O,state
1965-085,2439061.84,10/28/65,1965,Voskhod 11A57,,Zenit-4 No. 15,,SU,O,state
1965-087,2439067.02,11/2/65,1965,UR-500,,N-4 No. 2,,SU,O,state
1965-088,2439068.73,11/4/65,1965,Kosmos 11K63,,DS-U2-V No. 2,,SU,O,state
1965-091,2439076.7,11/12/65,1965,Molniya 8K78,M,3MV-4 No. 4,,SU,O,state
1965-092,2439080.68,11/16/65,1965,Molniya 8K78,M,3MV-3 No. 1,,SU,O,state
1965-094,2439087.63,11/23/65,1965,Molniya 8K78,M,3MV-4 No. 6,,SU,O,state
1965-095,2439091.01,11/26/65,1965,Kosmos 11K63,,DS-U2-M No. 1,,SU,O,state
1965-097,2439091.85,11/27/65,1965,Vostok 8A92,,Zenit-2 No. 31,,SU,O,state
1965-099,2439097.95,12/3/65,1965,Molniya 8K78,,E-6 No. 12,,SU,O,state
1966-001,2439132.85,1/7/66,1966,Vostok 8A92,,Zenit-2 No. 36,,SU,O,state
1966-101,2439431.53,11/2/66,1966,R-36O 8K69,,OGCh No. 06L?,,SU,O,state
1966-003,2439147.85,1/22/66,1966,Vostok 8A92,,Zenit-2 No. 38,,SU,O,state
1966-004,2439151.02,1/25/66,1966,Kosmos 11K63,,DS-P1-I No. 1,,SU,O,state
1966-105,2439441.91,11/12/66,1966,Voskhod 11A57,,Zenit-4 No. 25,,SU,O,state
1966-006,2439156.99,1/31/66,1966,Molniya 8K78M,?,E-6M No. 202 (13),,SU,O,state
1966-106,2439448.83,11/19/66,1966,Vostok 8A92,,Zenit-2 No. 46,,SU,O,state
1966-107,2439457.96,11/28/66,1966,Soyuz 11A511,,Soyuz 7K-OK No. 2,,SU,O,state
1966-108,2439462.84,12/3/66,1966,Voskhod 11A57,,Zenit-4 No. 26,,SU,O,state
1966-010,2439166.86,2/10/66,1966,Vostok 8A92,,Zenit-2 No. 34,,SU,O,state
1966-011,2439168.25,2/11/66,1966,Kosmos 63S1,,DS-U1-G No. 1,,SU,O,state
1966-112,2439472.36,12/12/66,1966,Kosmos 11K63,,DS-U2-MP No. 1,,SU,O,state
1966-014,2439175.87,2/19/66,1966,Voskhod 11A57,,Zenit-4 No. 14,,SU,O,state
1966-015,2439179.34,2/22/66,1966,Voskhod 11A57,,Voskhod 3KV No. 5,,SU,O,state
1966-115,2439479,12/19/66,1966,Vostok 8A92,,Zenit-2 No. 47,,SU,O,state
1966-116,2439480.93,12/21/66,1966,Molniya 8K78M,?,E-6M No. 205,,SU,O,state
1966-017,2439185.96,3/1/66,1966,Molniya 8K78M,?,E-6S No. 204 ISL,,SU,O,state
1966-117,2439481.05,12/21/66,1966,Kosmos 63S1,,DS-U2-D No. 1,,SU,O,state
1966-021,2439201.94,3/17/66,1966,Vostok 8A92,,Zenit-2 No. 37,,SU,O,state
1966-023,2439205.9,3/21/66,1966,Voskhod 11A57,,Zenit-4 No. 17,,SU,O,state
1966-027,2439215.95,3/31/66,1966,Molniya 8K78M,?,E-6S No. 206 ISL,,SU,O,state
1966-028,2439221.99,4/6/66,1966,Voskhod 11A57,,Zenit-4 No. 19,,SU,O,state
1966-033,2439235.94,4/20/66,1966,Vostok 8A92,,Zenit-2 No. 35,,SU,O,state
1966-035,2439240.8,4/25/66,1966,Molniya 8K78,M,Molniya-1 11F67 No. 6,,SU,O,state
1966-036,2439241.92,4/26/66,1966,Kosmos 11K63,,DS-P1-Yu No. 6,,SU,O,state
1966-037,2439251.96,5/6/66,1966,Vostok 8A92,,Zenit-2 No. 39,,SU,O,state
1966-038,2439257.09,5/11/66,1966,Vostok 8A92M,,Meteor 11F614 No. 4,,SU,O,state
1966-043,2439269.73,5/24/66,1966,Kosmos 11K63,,DS-U2-I No. 1,,SU,O,state
1966-050,2439284.96,6/8/66,1966,Voskhod 11A57,,Zenit-2 No. 41,,SU,O,state
1966-054,2439293.96,6/17/66,1966,Voskhod 11A57,,Zenit-4 No. 20,,SU,O,state
1966-057,2439301.94,6/25/66,1966,Vostok 8A92M,,Meteor 11F614 No. 5,,SU,O,state
1966-060,2439313.04,7/6/66,1966,UR-500,,N-4 No. 4,,SU,O,state
1966-061,2439314.73,7/8/66,1966,Kosmos 63S1,,DS-P1-Yu No. 5,,SU,O,state
1966-064,2439320.93,7/14/66,1966,Voskhod 11A57,,Zenit-2 No. 42,,SU,O,state
1966-067,2439326.87,7/20/66,1966,Soyuz 11A510,,US-A,,SU,O,state
1966-068,2439334.95,7/28/66,1966,Voskhod 11A57,,Zenit-4 No. 21,,SU,O,state
1966-071,2439345.98,8/8/66,1966,Voskhod 11A57,,Zenit-4 No. 22,,SU,O,state
1966-078,2439361.84,8/24/66,1966,Molniya 8K78M,?,E-6LF No. 101,,SU,O,state
1966-079,2439364.91,8/27/66,1966,Voskhod 11A57,,Zenit-4 No. 23,,SU,O,state
1966-088,2439386.44,9/17/66,1966,R-36O 8K69,,OGCh No. 05L?,,SU,O,state
1966-091,2439413.01,10/14/66,1966,Vostok 8A92,,Zenit-2 No. 33,,SU,O,state
1966-092,2439418.83,10/20/66,1966,Molniya 8K78,M,Molniya-1 11F67 No. 7,,SU,O,state
1966-093,2439418.87,10/20/66,1966,Voskhod 11A57,,Zenit-4 No. 24,,SU,O,state
1966-094,2439420.86,10/22/66,1966,Molniya 8K78M,?,E-6LF No. 102,,SU,O,state
1967-101,2439785.86,10/22/67,1967,Molniya 8K78,M,Molniya-1 11F67 No. 12,,SU,O,state
1967-102,2439788.45,10/24/67,1967,Vostok 8A92M,,Meteor 11F614 No. 8,,SU,O,state
1967-004,2439510.03,1/19/67,1967,Vostok 8A92,,Zenit-2 No. 43,,SU,O,state
1967-104,2439790.6,10/27/67,1967,Tsiklon-2A,,I2-BM,,SU,O,state
1967-005,2439516.08,1/25/67,1967,R-36O 8K69,,OGCh No. 07L,,SU,O,state
1967-105,2439790.9,10/27/67,1967,Soyuz 11A511,,Soyuz No. 6,,SU,O,state
1967-106,2439792.05,10/28/67,1967,R-36O 8K69,,OGCh No. 16?,,SU,O,state
1967-107,2439793.84,10/30/67,1967,Soyuz 11A511,,Soyuz No. 5,,SU,O,state
1967-108,2439794.25,10/30/67,1967,Kosmos 11K65M,,Tselina-O GVM,,SU,O,state
1967-009,2439528.64,2/7/67,1967,Soyuz 11A511,,Soyuz No. 3,,SU,O,state
1967-110,2439797.97,11/3/67,1967,Voskhod 11A57,,Zenit-4 No. 35,,SU,O,state
1967-012,2439529.93,2/8/67,1967,Voskhod 11A57,,Zenit-4 No. 29,,SU,O,state
1967-013,2439535.92,2/14/67,1967,Kosmos 11K63,,DS-U2-I No. 2,,SU,O,state
1967-115,2439816.1,11/21/67,1967,Kosmos 11K63,,DS-P1-Yu No. 9,,SU,O,state
1967-116,2439818.12,11/23/67,1967,Kosmos 11K65M,,Tsiklon,,SU,O,state
1967-017,2439548.86,2/27/67,1967,Vostok 8A92,,Zenit-2 No. 45,,SU,O,state
1967-117,2439819.98,11/25/67,1967,Voskhod 11A57,,Zenit-2 No. 58,,SU,O,state
1967-018,2439550.11,2/28/67,1967,Vostok 8A92M,?,Meteor 11F614 No. 6,,SU,O,state
1967-019,2439552.78,3/3/67,1967,Kosmos 11K63,,DS-U2-M No. 2,,SU,O,state
1967-119,2439828,12/3/67,1967,Voskhod 11A57,,Zenit-4 No. 39,,SU,O,state
1967-021,2439559.98,3/10/67,1967,UR-500K/Blok D,,L-1 No. 2P,,SU,O,state
1967-022,2439563.01,3/13/67,1967,Vostok 8A92,,Zenit-2 No. 44,,SU,O,state
1967-023,2439566.23,3/16/67,1967,Kosmos 11K63,,DS-P1-I No. 2,,SU,O,state
1967-024,2439570.92,3/21/67,1967,Kosmos 11K63,,DS-MO No. 1,,SU,O,state
1967-124,2439841,12/16/67,1967,Voskhod 11A57,,Zenit-2 No. 57,,SU,O,state
1967-025,2439572.03,3/22/67,1967,Voskhod 11A57,,Zenit-4 No. 27,,SU,O,state
1967-125,2439843.77,12/19/67,1967,Kosmos 63S1,,DS-U1-G No. 2,,SU,O,state
1967-126,2439850.88,12/26/67,1967,Kosmos 11K63,,DS-U2-V No. 3,,SU,O,state
1967-027,2439573.99,3/24/67,1967,Kosmos 11K65,,Strela-2,,SU,O,state
1967-127,2439851.98,12/27/67,1967,Tsiklon-2A,,US-A reactor,,SU,O,state
1967-028,2439574.79,3/25/67,1967,Kosmos 11K63,,DS-P1-Yu No. 7,,SU,O,state
1967-030,2439585.08,4/4/67,1967,Vostok 8A92,,Zenit-2 No. 48,,SU,O,state
1967-032,2439588.88,4/8/67,1967,Proton-K/D,,L-1 No. 3P,,SU,O,state
1967-033,2439592.95,4/12/67,1967,Voskhod 11A57,,Zenit-4 No. 28,,SU,O,state
1967-037,2439603.52,4/23/67,1967,Soyuz 11A511,,Soyuz No. 4,,SU,O,state
1967-039,2439608.03,4/27/67,1967,Vostok 8A92M,,Meteor 11F614 No. 7,,SU,O,state
1967-044,2439622.94,5/12/67,1967,Vostok 8A92,,Zenit-2 No. 49,,SU,O,state
1967-045,2439625.96,5/15/67,1967,Kosmos 11K65M,,Tsiklon GVM,,SU,O,state
1967-046,2439627.41,5/16/67,1967,Molniya 8K78M,?,E-6LS No. 111,,SU,O,state
1967-047,2439628.17,5/17/67,1967,R-36O 8K69,,OGCh No. 09?,,SU,O,state
1967-049,2439633.08,5/22/67,1967,Voskhod 11A57,,Zenit-4 No. 31,,SU,O,state
1967-052,2439635.45,5/24/67,1967,Molniya 8K78,M,Molniya-1 11F67 No. 8,,SU,O,state
1967-054,2439642.94,6/1/67,1967,Voskhod 11A57,,Zenit-4 No. 30,,SU,O,state
1967-056,2439646.71,6/5/67,1967,Kosmos 11K63,,DS-U2-MP No. 2,,SU,O,state
1967-057,2439650.04,6/8/67,1967,Voskhod 11A57,,Zenit-2 No. 50,,SU,O,state
1967-058,2439653.61,6/12/67,1967,Molniya 8K78M,VL,4V-1 No. 310,,SU,O,state
1967-059,2439654.25,6/12/67,1967,Kosmos 11K63,,DS-P1-Yu No. 11,,SU,O,state
1967-061,2439657.7,6/16/67,1967,Kosmos 11K63,,DS-U3-S No. 1,,SU,O,state
1967-063,2439658.61,6/17/67,1967,Molniya 8K78M,VL,4V-1 No. 311,,SU,O,state
1967-067,2439675.75,7/4/67,1967,Voskhod 11A57,,Zenit-2 No. 52,,SU,O,state
1967-069,2439689.2,7/17/67,1967,R-36O 8K69,,OGCh No. 10?,,SU,O,state
1967-074,2439703.2,7/31/67,1967,R-36O 8K69,,OGCh No. 11?,,SU,O,state
1967-077,2439711.17,8/8/67,1967,R-36O 8K69,,OGCh No. 12?,,SU,O,state
1967-078,2439711.74,8/9/67,1967,Voskhod 11A57,,Zenit-4 No. 34,,SU,O,state
1967-081,2439726.71,8/24/67,1967,Kosmos 11K63,,DS-P1-Yu No. 8,,SU,O,state
1967-082,2439733.83,8/31/67,1967,Molniya 8K78,M,Molniya-1Yu 11F67 No. 11,,SU,O,state
1967-085,2439744.94,9/11/67,1967,Voskhod 11A57,,Zenit-4 No. 37,,SU,O,state
1967-086,2439746.21,9/12/67,1967,Kosmos 11K63,,DS-P1-Yu No. 10,,SU,O,state
1967-088,2439749.75,9/16/67,1967,Voskhod 11A57,,Zenit-2 No. 53,,SU,O,state
1967-089,2439753.11,9/19/67,1967,R-36O 8K69,,OGCh No. 13?,,SU,O,state
1967-091,2439756.09,9/22/67,1967,R-36O 8K69,,OGCh No. 14?,,SU,O,state
1967-093,2439759.93,9/26/67,1967,Voskhod 11A57,,Zenit-2 No. 54,,SU,O,state
1967-095,2439766.71,10/3/67,1967,Molniya 8K78,M,Molniya-1 11F67 No. 9,,SU,O,state
1967-097,2439774.98,10/11/67,1967,Voskhod 11A57,,Zenit-2 No. 55,,SU,O,state
1967-098,2439779.83,10/16/67,1967,Voskhod 11A57,,Zenit-4 No. 36,,SU,O,state
1967-099,2439782.06,10/18/67,1967,R-36O 8K69,,OGCh No. 15?,,SU,O,state
1968-101,2440171.3,11/10/68,1968,Proton-K/D,,L-1 No. 12L,,SU,O,state
1968-102,2440174,11/13/68,1968,Voskhod 11A57,,Zenit-2 No. 67,,SU,O,state
1968-003,2439872,1/16/68,1968,Voskhod 11A57,,Zenit-2 No. 59,,SU,O,state
1968-103,2440176.99,11/16/68,1968,Proton-K,,N-6 No. 1,,SU,O,state
1968-104,2440182.01,11/21/68,1968,Voskhod 11A57,,Zenit-4 No. 50,,SU,O,state
1968-105,2440190.03,11/29/68,1968,Voskhod 11A57,,Zenit-2 No. 68,,SU,O,state
1968-006,2439875.42,1/19/68,1968,Kosmos 11K65M,,Tselina-O,,SU,O,state
1968-106,2440191,11/30/68,1968,Kosmos 11K65M,,Sfera,,SU,O,state
1968-107,2440194.12,12/3/68,1968,Kosmos 11K63,,DS-P1-Yu No. 17,,SU,O,state
1968-009,2439892.83,2/6/68,1968,Voskhod 11A57,,Zenit-4 No. 40,,SU,O,state
1968-010,2439906.92,2/20/68,1968,Kosmos 11K63,,DS-U2-V No. 4,,SU,O,state
1968-011,2439907.17,2/20/68,1968,Kosmos 11K65M,,Sfera,,SU,O,state
1968-111,2440200.85,12/10/68,1968,Voskhod 11A57,,Zenit-2 No. 69,,SU,O,state
1968-013,2439918.27,3/2/68,1968,Proton-K/D,,L-1 No. 6L,,SU,O,state
1968-113,2440204.72,12/14/68,1968,Kosmos 11K63,,DS-U2-I No. 3,,SU,O,state
1968-015,2439920.97,3/5/68,1968,Kosmos 11K63,,DS-P1-I No. 3,,SU,O,state
1968-115,2440206.89,12/16/68,1968,Molniya 8K78M,,Molniya-1Yu 11F67 No. 15,,SU,O,state
1968-016,2439921.02,3/5/68,1968,Voskhod 11A57,,Zenit-2 No. 56,,SU,O,state
1968-117,2440210.5,12/19/68,1968,Kosmos 11K63,,DS-U2-GK No. 1,,SU,O,state
1968-019,2439929.9,3/14/68,1968,Vostok 8A92M,,Meteor 11F614 No. 9,,SU,O,state
1968-119,2440216.91,12/26/68,1968,Kosmos 11K63,,DS-U2-GF No. 1,,SU,O,state
1968-021,2439932.02,3/16/68,1968,Voskhod 11A57,,Zenit-4 No. 38,,SU,O,state
1968-022,2439936.91,3/21/68,1968,Voskhod 11A57,,Zenit-2M,,SU,O,state
1968-023,2439937.9,3/22/68,1968,Tsiklon-2A,,US-A reactor,,SU,O,state
1968-024,2439949.96,4/3/68,1968,Voskhod 11A57,,Zenit-2 No. 60,,SU,O,state
1968-027,2439953.92,4/7/68,1968,Molniya 8K78M,,E-6LS No. 113,,SU,O,state
1968-028,2439955.98,4/9/68,1968,Kosmos 11K63,,DS-P1-Yu No. 13,,SU,O,state
1968-029,2439960.92,4/14/68,1968,Soyuz 11A511,,Soyuz No. 8,,SU,O,state
1968-030,2439961.9,4/15/68,1968,Soyuz 11A511,,Soyuz No. 7,,SU,O,state
1968-032,2439964.94,4/18/68,1968,Voskhod 11A57,,Zenit-4 No. 45,,SU,O,state
1968-033,2439965.44,4/18/68,1968,Kosmos 11K63,,DS-U1-A No. 1,,SU,O,state
1968-034,2439966.94,4/20/68,1968,Voskhod 11A57,,Zenit-2 No. 62,,SU,O,state
1968-035,2439967.68,4/21/68,1968,Molniya 8K78M,,Molniya-1 11F67 No. 10,,SU,O,state
1968-036,2439971.17,4/24/68,1968,Tsiklon-2A,,I2M,,SU,O,state
1968-037,2439971.53,4/25/68,1968,R-36O 8K69,,OGCh No. 17LU,,SU,O,state
1968-038,2439972.7,4/26/68,1968,Kosmos 11K63,,DS-U2-D No. 2,,SU,O,state
1968-040,2439984.08,5/7/68,1968,Kosmos 11K65M,,Tsiklon,,SU,O,state
1968-043,2440000.8,5/24/68,1968,Kosmos 11K63,,DS-P1-Yu No. 14,,SU,O,state
1968-044,2440007.35,5/30/68,1968,Kosmos 11K63,,DS-P1-Yu No. 12,,SU,O,state
1968-045,2440008.95,6/1/68,1968,Voskhod 11A57,,Zenit-2 No. 63,,SU,O,state
1968-046,2440011.78,6/4/68,1968,Voskhod 11A57,,Zenit-4 No. 46,,SU,O,state
1968-048,2440019.4,6/11/68,1968,Kosmos 11K63,,DS-U1-Ya No. 2,,SU,O,state
1968-049,2440020.05,6/12/68,1968,Vostok 8A92M,,Meteor No. 10,,SU,O,state
1968-051,2440025.76,6/18/68,1968,Voskhod 11A57,,Zenit-4 No. 44,,SU,O,state
1968-053,2440029,6/21/68,1968,Voskhod 11A57,,Zenit-2M,,SU,O,state
1968-054,2440033.96,6/26/68,1968,Voskhod 11A57,,Zenit-4 No. 41,,SU,O,state
1968-056,2440042.79,7/5/68,1968,Kosmos 11K63,,DS-U3-S No. 2,,SU,O,state
1968-057,2440043.14,7/5/68,1968,Molniya 8K78M,,Molniya-1 11F67 No. 13,,SU,O,state
1968-058,2440048.33,7/10/68,1968,Voskhod 11A57,,Zenit-2 No. 64,,SU,O,state
1968-060,2440054.05,7/16/68,1968,Voskhod 11A57,,Zenit-4 No. 47,,SU,O,state
1968-061,2440056.33,7/18/68,1968,Kosmos 11K63,,DS-P1-Yu No. 15,,SU,O,state
1968-062,2440067.79,7/30/68,1968,Voskhod 11A57,,Zenit-4 No. 42,,SU,O,state
1968-067,2440077.79,8/9/68,1968,Voskhod 11A57,,Zenit-2 No. 61,,SU,O,state
1968-070,2440095.98,8/27/68,1968,Kosmos 11K65,,Strela-2 No. 4,,SU,O,state
1968-071,2440096.02,8/27/68,1968,Voskhod 11A57,,Zenit-4 No. 43,,SU,O,state
1968-072,2440096.92,8/28/68,1968,Soyuz 11A511,,Soyuz No. 9,,SU,O,state
1968-073,2440104.79,9/5/68,1968,Voskhod 11A57,,Zenit-4 No. 48,,SU,O,state
1968-075,2440113.78,9/14/68,1968,Voskhod 11A57,,Zenit-2 No. 66,,SU,O,state
1968-076,2440114.4,9/14/68,1968,Proton-K/D,,L-1 No. 9L,,SU,O,state
1968-077,2440116.02,9/16/68,1968,Voskhod 11A57,,Zenit-4 No. 49,,SU,O,state
1968-079,2440120.11,9/20/68,1968,Kosmos 11K63,,DS-P1-I No. 4,,SU,O,state
1968-080,2440122.82,9/23/68,1968,Voskhod 11A57,,Zenit-2M,,SU,O,state
1968-082,2440132.07,10/2/68,1968,R-36O 8K69,,OGCh No. V22500-10 (20?),,SU,O,state
1968-083,2440133.04,10/3/68,1968,Kosmos 11K63,,DS-P1-Yu No. 16,,SU,O,state
1968-085,2440134.52,10/5/68,1968,Molniya 8K78M,,Molniya-1 11F67 No. 14,,SU,O,state
1968-087,2440137,10/7/68,1968,Voskhod 11A57,,Zenit-4 No. 51,,SU,O,state
1968-088,2440141,10/11/68,1968,Voskhod 11A57,,Zenit-2 No. 65,,SU,O,state
1968-090,2440148.68,10/19/68,1968,Tsiklon-2A,,I2M,,SU,O,state
1968-091,2440149.67,10/20/68,1968,Tsiklon-2A,,I2P,,SU,O,state
1968-093,2440154.88,10/25/68,1968,Soyuz 11A511,,Soyuz No. 11,,SU,O,state
1968-094,2440155.86,10/26/68,1968,Soyuz 11A511,,Soyuz No. 10,,SU,O,state
1968-095,2440160.42,10/30/68,1968,Kosmos 11K65M,,Tselina-O,,SU,O,state
1968-096,2440160.89,10/31/68,1968,Voskhod 11A57,,Zenit-4M,,SU,O,state
1968-097,2440161.52,11/1/68,1968,Tsiklon-2A,,I2P,,SU,O,state
1969-100,2440540.85,11/15/69,1969,Voskhod 11A57,,Zenit-4 No. 69,,SU,O,state
1969-001,2440226.77,1/5/69,1969,Molniya 8K78M,VL,4V-1 No. 330,,SU,O,state
1969-002,2440231.74,1/10/69,1969,Molniya 8K78M,VL,4V-1 No. 331,,SU,O,state
1969-102,2440549.96,11/24/69,1969,Kosmos 11K63,,DS-P1-Yu No. 27,,SU,O,state
1969-003,2440234.01,1/12/69,1969,Voskhod 11A57,,Zenit-2 No. 70,,SU,O,state
1969-103,2440550.2,11/24/69,1969,Kosmos 11K65M,,Sfera,,SU,O,state
1969-004,2440235.81,1/14/69,1969,Soyuz 11A511,,Soyuz No. 12,,SU,O,state
1969-104,2440559.06,12/3/69,1969,Voskhod 11A57,,Zenit-2M,,SU,O,state
1969-005,2440236.8,1/15/69,1969,Soyuz 11A511,,Soyuz No. 13,,SU,O,state
1969-106,2440567.04,12/11/69,1969,Kosmos 11K63,,DS-P1-Yu No. 30,,SU,O,state
1969-107,2440575.64,12/20/69,1969,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1969-008,2440244.89,1/23/69,1969,Voskhod 11A57,,Zenit-4M,,SU,O,state
1969-108,2440578.89,12/23/69,1969,Tsiklon-2,,IM IS (I2P?),,SU,O,state
1969-109,2440579.08,12/23/69,1969,Voskhod 11A57,,Zenit-4MK,,SU,O,state
1969-110,2440580.92,12/25/69,1969,Kosmos 11K63,,DS-U1-IK No. 1,,SU,O,state
1969-012,2440260.08,2/7/69,1969,Kosmos 11K63,,DS-P1-Yu No. 21,,SU,O,state
1969-015,2440277.93,2/25/69,1969,Voskhod 11A57,,Zenit-2 No. 71,,SU,O,state
1969-017,2440278.85,2/26/69,1969,Voskhod 11A57,,Zenit-4 No. 54,,SU,O,state
1969-020,2440286.05,3/5/69,1969,Kosmos 11K63,,DS-P1-Yu No. 18,,SU,O,state
1969-021,2440286.23,3/5/69,1969,Kosmos 11K65M,,Tselina-OM,,SU,O,state
1969-022,2440287.01,3/6/69,1969,Voskhod 11A57,,Zenit-4 No. 53,,SU,O,state
1969-023,2440296.01,3/15/69,1969,Voskhod 11A57,,Zenit-4 No. 52,,SU,O,state
1969-024,2440298.19,3/17/69,1969,Kosmos 11K65M,,Sfera,,SU,O,state
1969-027,2440303.01,3/22/69,1969,Voskhod 11A57,,Zenit-2 No. 77,,SU,O,state
1969-028,2440304.92,3/24/69,1969,Voskhod 11A57,,Zenit-4 No. 58,,SU,O,state
1969-029,2440307.02,3/26/69,1969,Vostok 8A92M,,Meteor 11F614M No. 12,,SU,O,state
1969-031,2440309.17,3/28/69,1969,Kosmos 11K63,,DS-P1-I No. 5,,SU,O,state
1969-032,2440315.93,4/4/69,1969,Voskhod 11A57,,Zenit-4 No. 55,,SU,O,state
1969-033,2440316.04,4/4/69,1969,Kosmos 11K63,,DS-P1-Yu No. 20,,SU,O,state
1969-034,2440321.04,4/9/69,1969,Voskhod 11A57,,Zenit-2 No. 78,,SU,O,state
1969-035,2440322.6,4/11/69,1969,Molniya 8K78M,,Molniya-1 11F67 No. 16,,SU,O,state
1969-038,2440326.84,4/15/69,1969,Voskhod 11A57,,Zenit-4 No. 61,,SU,O,state
1969-040,2440334.91,4/23/69,1969,Voskhod 11A57,,Zenit-4M,,SU,O,state
1969-042,2440354.89,5/13/69,1969,Voskhod 11A57,,Zenit-2 No. 72,,SU,O,state
1969-044,2440361.86,5/20/69,1969,Voskhod 11A57,,Zenit-4 No. 57,,SU,O,state
1969-047,2440369.04,5/27/69,1969,Kosmos 11K63,,DS-P1-Yu No. 19,,SU,O,state
1969-048,2440370.79,5/29/69,1969,Voskhod 11A57,,Zenit-4 No. 62,,SU,O,state
1969-049,2440376.04,6/3/69,1969,Kosmos 11K63,,DS-P1-Yu No. 24,,SU,O,state
1969-052,2440387.87,6/15/69,1969,Voskhod 11A57,,Zenit-4 No. 60,,SU,O,state
1969-054,2440396.78,6/24/69,1969,Voskhod 11A57,,Zenit-2 No. 76,,SU,O,state
1969-055,2440399.79,6/27/69,1969,Voskhod 11A57,,Zenit-4 No. 59,,SU,O,state
1969-057,2440412.88,7/10/69,1969,Voskhod 11A57,,Zenit-4 No. 56,,SU,O,state
1969-058,2440415.62,7/13/69,1969,Proton-K/D,,E-8-5 No. 401,,SU,O,state
1969-060,2440425.02,7/22/69,1969,Voskhod 11A57,,Zenit-2 No. 75,,SU,O,state
1969-061,2440425.04,7/22/69,1969,Molniya 8K78M,,Molniya-1 11F67 No. 18,,SU,O,state
1969-066,2440439.74,8/6/69,1969,Tsiklon-2,,IS-M GVM,,SU,O,state
1969-067,2440441.49,8/7/69,1969,Proton-K/D,,L-1 No. 11,,SU,O,state
1969-070,2440447.42,8/13/69,1969,Kosmos 11K65M,,Tsiklon,,SU,O,state
1969-071,2440450,8/16/69,1969,Voskhod 11A57,,Zenit-2M,,SU,O,state
1969-072,2440453.04,8/19/69,1969,Voskhod 11A57,,Zenit-4 No. 63,,SU,O,state
1969-073,2440456.09,8/22/69,1969,Kosmos 11K63,,DS-P1-Yu No. 29,,SU,O,state
1969-075,2440462.88,8/29/69,1969,Voskhod 11A57,,Zenit-4 No. 68,,SU,O,state
1969-076,2440466.96,9/2/69,1969,Voskhod 11A57,,Zenit-4 No. 64,,SU,O,state
1969-077,2440480.17,9/15/69,1969,R-36O 8K69,,OGCh No. 21?,,SU,O,state
1969-078,2440482.86,9/18/69,1969,Voskhod 11A57,,Zenit-4 No. 65,,SU,O,state
1969-080,2440488.09,9/23/69,1969,Proton-K/D,,E-8-5 No. 403,,SU,O,state
1969-081,2440489.01,9/24/69,1969,Voskhod 11A57,,Zenit-2 No. 79,,SU,O,state
1969-084,2440500.57,10/6/69,1969,Vostok 8A92M,,Meteor 11F614M No. 15,,SU,O,state
1969-085,2440505.97,10/11/69,1969,Soyuz 11A511,,Soyuz No. 14,,SU,O,state
1969-086,2440506.95,10/12/69,1969,Soyuz 11A511,,Soyuz No. 15,,SU,O,state
1969-087,2440507.93,10/13/69,1969,Soyuz 11A511,,Soyuz No. 16,,SU,O,state
1969-088,2440509.06,10/14/69,1969,Kosmos 11K63,,DS-U3-IK No. 1,,SU,O,state
1969-089,2440511.99,10/17/69,1969,Voskhod 11A57,,Zenit-4 No. 67,,SU,O,state
1969-090,2440512.92,10/18/69,1969,Kosmos 11K63,,DS-P1-Yu No. 28,,SU,O,state
1969-091,2440516.03,10/21/69,1969,Kosmos 11K65M,,Tsiklon,,SU,O,state
1969-092,2440517.09,10/22/69,1969,Proton-K/D,,VA,,SU,O,state
1969-093,2440518.9,10/24/69,1969,Voskhod 11A57,,Zenit-2M,,SU,O,state
1969-094,2440519.04,10/24/69,1969,Kosmos 11K63,,DS-P1-Yu No. 22,,SU,O,state
1969-096,2440530,11/4/69,1969,Kosmos 11K63,,DS-P1-I No. 7,,SU,O,state
1969-098,2440537.98,11/12/69,1969,Voskhod 11A57,,Zenit-2 No. 80,,SU,O,state
1970-100,2440914.96,11/24/70,1970,Kosmos 11K63,,DS-P1-Yu No. 26,,SU,O,state
